# коды ошибок Bambu Lab, источник: github.com/pcider/telebambu
0300800A	0300-800A	A Filament pile-up was detected by the AI Print Monitoring. Please clean the filament from the waste chute.
03008003	0300-8003	Spaghetti defects were detected by the AI Print Monitoring. Please check the quality of the printed model before continuing your print.
07008010	0700-8010	The AMS assist motor is overloaded. This could be due to entangled filament or a stuck spool.
07018010	0701-8010	The AMS assist motor is overloaded. This could be due to entangled filament or a stuck spool.
07FF8010	07FF-8010	AMS assist motor is overloaded. Please check if the spool or filament is stuck. After troubleshooting, click the "Retry" button.
07028010	0702-8010	AMS assist motor is overloaded. Please check if the spool or filament is stuck. After troubleshooting, click the "Retry" button.
07038010	0703-8010	AMS assist motor is overloaded. Please check if the spool or filament is stuck. After troubleshooting, click the "Retry" button.
03004008	0300-4008	The AMS failed to change filament.
07008011	0700-8011	AMS filament ran out. Please insert a new filament into the same AMS slot.
07018011	0701-8011	AMS filament ran out. Please insert a new filament into the same AMS slot.
07028011	0702-8011	AMS filament ran out. Please insert a new filament into the same AMS slot.
07038011	0703-8011	AMS filament ran out. Please insert a new filament into the same AMS slot.
12008011	1200-8011	AMS filament ran out. Please insert a new filament into the same AMS slot.
05004016	0500-4016	The MicroSD Card is write-protected. Please replace the MicroSD Card.
0500402F	0500-402F	The Micro SD card sector data is damaged. Please use the SD card repair tool to repair or format it. If it still cannot be identified, please replace the Micro SD card.
0500C010	0500-C010	MicroSD Card read/write exception. please reinsert or replace MicroSD Card .
03004009	0300-4009	Homing XY axis failed.
03004000	0300-4000	Printing stopped because homing Z axis failed.
05004005	0500-4005	Print jobs are not allowed to be sent while updating firmware.
05004009	0500-4009	Print jobs are not allowed to be sent while updating logs.
05004002	0500-4002	Unsupported print file path or name. Please resend the printing job.
05014032	0501-4032	QR code binding is in progress, so device discovery binding cannot be performed. You can scan the QR code on the screen for binding or exit the QR code display page on screen and try device discovery binding.
05004014	0500-4014	Slicing for the print job failed. Please check your settings and restart the print job.
0500401F	0500-401F	Authorization timed out. Please make sure that your phone or PC has access to the internet, and ensure that the Bambu Studio/Bambu Handy APP is running in the foreground during the binding operation.
0501401F	0501-401F	Authorization timed out. Please make sure that your phone or PC has access to the internet, and ensure that the Bambu Studio/Bambu Handy APP is running in the foreground during the binding operation.
0500401D	0500-401D	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
0501401D	0501-401D	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
05004021	0500-4021	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
05004027	0500-4027	Cloud access failed; this may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
05014021	0501-4021	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
05014027	0501-4027	Cloud access failed; this may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
05004024	0500-4024	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration before you try again.
05014024	0501-4024	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration before you try again.
0500401A	0500-401A	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration and then try again.
0501401A	0501-401A	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration and then try again.
0500401C	0500-401C	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer service.
0501401C	0501-401C	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer service.
05004020	0500-4020	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer service.
05004023	0500-4023	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer service.
05004026	0500-4026	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer service.
05004029	0500-4029	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer service.
05014020	0501-4020	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer service.
05014023	0501-4023	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer service.
05014026	0501-4026	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer service.
05014029	0501-4029	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer service.
0500401B	0500-401B	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
0500401E	0500-401E	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
0501401B	0501-401B	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
0501401E	0501-401E	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
05004022	0500-4022	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
05004025	0500-4025	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
05004028	0500-4028	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
05014022	0501-4022	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
05014025	0501-4025	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
05014028	0501-4028	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer service.
05004006	0500-4006	There is not enough free storage space for the print job. Restoring to factory settings can release available space.
0300400B	0300-400B	Internal communication exception.
0300800B	0300-800B	The cutter is stuck. Please make sure the cutter handle is out.
12008001	1200-8001	Cutting the filament failed. Please check to see if the cutter is stuck. Refer to the Assistant for solutions.
1001C001	1001-C001	Timelapse is not supported because Spiral vase is enabled in slicing presets.
1001C002	1001-C002	Timelapse is not supported because Print sequence is set to "By object".
05004038	0500-4038	The nozzle diameter in sliced file is not consistent with the current nozzle setting. This file can't be printed.
05008036	0500-8036	Your sliced file is not consistent with the current printer model. Continue?
05004037	0500-4037	Your sliced file is not compatible with current printer model. This file can't be printed on this printer.
05014034	0501-4034	The slicing progress has not been updated for a long time, and the printing task has exited. Please confirm the parameters and reinitiate printing.
05014038	0501-4038	The regional settings do not match the printer, please check the printer's regional settings.
05004008	0500-4008	Starting printing failed. please power cycle the printer and resend the print job.
03004006	0300-4006	The nozzle is clogged.
03008008	0300-8008	Printing Stopped because nozzle temperature problem.
03004005	0300-4005	The nozzle fan speed is abnormal.
07FF8012	07FF-8012	Failed to get AMS mapping table; please click "Retry" to continue.
12FF8012	12FF-8012	Failed to get AMS mapping table; please click the "Retry" button to continue.
07008012	0700-8012	Failed to get AMS mapping table; please click "Retry" to continue.
07018012	0701-8012	Failed to get AMS mapping table; please click "Retry" to continue.
07028012	0702-8012	Failed to get AMS mapping table; please click "Retry" to continue.
07038012	0703-8012	Failed to get AMS mapping table; please click "Retry" to continue.
12008012	1200-8012	Failed to get AMS mapping table. Please click the "Retry" button to continue.
12018012	1201-8012	Failed to get AMS mapping table; please click the "Retry" button to continue.
12028012	1202-8012	Failed to get AMS mapping table; please click the "Retry" button to continue.
12038012	1203-8012	Failed to get AMS mapping table; please click the "Retry" button to continue.
12018014	1201-8014	Failed to check the filament location in the tool head, please refer to the HMS. After troubleshooting, click the "Retry" button.
12028014	1202-8014	Failed to check the filament location in the tool head, please refer to the HMS. After troubleshooting, click the "Retry" button.
12038014	1203-8014	Failed to check the filament location in the tool head; please refer to the HMS. After troubleshooting, click the "Retry" button.
03008005	0300-8005	Toolhead front cover fell off. Please remount the front cover and check to make sure your print is going okay.
03004001	0300-4001	The printer timed out waiting for the nozzle to cool down before homing.
1000C003	1000-C003	Enabling traditional timelapse might lead to defects. Please enable it as needed?
0500403A	0500-403A	The current temperature is too low. In order to protect you and your printer. Printing task, moving axis and other operations is disabled. Please move the printer to an environment above 10 celsius degree.
05014033	0501-4033	Your APP region is not matched with your printer, please download the APP in the corresponding region and register your account again.
0300400C	0300-400C	Printing was cancelled.
0500400E	0500-400E	Printing was cancelled.
05004019	0500-4019	The printer has already been bound. Please unbind it and try again.
05014019	0501-4019	The printer has already been bound. Please unbind it and try again.
03008004	0300-8004	Filament ran out. Please load new filament.
03008015	0300-8015	The filament has run out, please load new filament in the "filament" page.
05004004	0500-4004	The printer can't receive new print jobs while printing. Resend after the current print finishes.
0300400A	0300-400A	Mechanical resonance frequency identification failed.
0500400B	0500-400B	There was a problem downloading a file. Please check you network connection and resend the printing job.
